"Gene","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell"
"CD320",7.005269381,7.5226285,6.60087308,6.386398714,5.869619375,8.270404304,6.8804915,7.377361
"CD33",5.408678667,5.722847583,9.21481032,8.840100929,8.003072417,7.040513957,5.304432688,6.130842231
"CD34",6.169894333,5.910833667,6.033975,6.3121035,6.201987292,5.823188652,5.202992813,5.971515923
"CD36",3.439120095,3.583341917,9.79061556,9.260014286,9.24545225,4.203882435,3.57297925,5.437297
"CD37",9.793514238,8.948031667,10.36816404,9.497488714,6.956256708,8.184299348,8.017458188,7.615116615
"CD38",6.760004238,8.403482,5.0432278,8.741139214,6.084104333,7.989642478,5.6114615,5.611277692
"CD3D",12.68956081,8.193985583,6.16351996,7.776179643,5.864475458,11.69159626,12.18506081,12.58659685
"CD3E",9.057491286,6.966147083,4.85429816,6.602110286,5.125902667,7.824805783,9.369879625,7.836283385
"CD3G",8.776506667,6.984660917,4.84709396,5.651063,4.969884667,9.413694174,9.332939063,10.43505938
"CD4",7.840799857,5.667542167,9.57939476,8.1735395,6.588272458,8.060746739,7.25422225,6.191064385
"CD40",5.180762571,5.356231167,7.52329428,10.6559405,9.006367792,5.685433391,5.150316063,4.965665
"CD40LG",8.395470571,5.932794583,5.8939686,6.185638,5.875114917,6.790014783,11.48789,5.928549538
"CD44",9.746908667,8.244960667,8.1153904,8.538431571,7.114927333,5.518577261,9.695808125,9.116617615
"CD46",6.100239429,7.2353035,9.29740008,8.912284786,7.892126375,6.61006613,9.25672,6.597205615
"CD47",9.531094048,11.22360258,11.2434946,11.75906657,11.34932517,10.54977439,10.37748481,9.673021077
"CD48",12.48489443,12.27385925,10.31398228,11.70559929,10.10960958,10.85292961,11.68491794,12.31761454
"CD5",10.10746733,5.429729833,4.92039796,5.934626714,5.612307167,9.354031217,9.487312313,8.765673692
"CD53",3.935177619,4.242340083,3.80335872,4.096663714,3.8254195,3.925096217,5.233155938,4.111591308
"CD58",4.053025333,9.032814667,9.69860212,9.615616714,10.57472175,5.882413826,9.943267375,4.102218462
"CD59",3.886910048,3.63779875,5.94509672,4.363295786,6.574417833,4.210008174,4.898595688,3.920836538
"CD5L",5.685235762,5.480323083,5.37431288,5.604122,5.060205833,5.652838087,5.301179938,5.536040231
"CD6",11.26407948,8.536484583,6.55734632,7.257717429,6.752147083,10.00010691,9.93076325,10.65531069
"CD63",8.109914381,11.916151,13.71312832,13.95948714,13.72282983,9.443738522,10.69938188,8.854093308
"CD68",5.018531286,5.010318417,9.90545948,9.343081286,9.129568583,5.374564043,5.275006125,5.725266077
"CD69",11.30058976,12.04660867,3.023748,5.894405071,4.577903583,10.08738761,11.962971,10.64621515
"CD7",6.875198905,8.813613417,4.04241876,4.854429071,4.134204292,6.808612,10.38422381,6.386050231
"CD74",5.854196476,5.675275833,5.92127748,6.209549286,6.010185083,6.243699696,9.009306313,6.271802769
"CD79A",5.186029095,4.862040833,5.3726934,6.027498786,5.163661833,6.264422783,5.93753,6.622841231
"CD79B",5.541416619,7.221231417,5.44116916,5.883369714,6.345204542,6.968552957,6.62543675,6.519617154
"CD80",5.830723,5.480614333,5.52442984,7.617441286,7.206707292,5.384636043,4.052757625,5.239387231
"CD81",9.303389667,10.84808825,12.46106072,11.56587264,12.25079383,10.06890787,9.613560938,9.397326846
"CD82",7.874258714,7.350387333,8.52726116,9.5790365,9.707425583,8.45655713,8.679156625,7.541773846
"CD83",8.363463048,9.0960735,10.79614184,11.92285307,13.10092583,8.998107696,10.61754125,7.379526154
"CD84",3.989644667,4.67592325,8.0910612,8.928075714,8.300586458,4.154251739,8.053557625,5.695610692
"CD86",4.472588762,4.43211875,9.11277928,8.573696357,10.82863792,4.620059522,3.846128,4.688383154
"CD8A",5.660054048,10.77576433,4.97356752,6.650480429,5.375123958,6.834264348,4.469634313,12.59927115
"CD8B",6.153802,6.0256195,5.43679804,5.818866143,5.38540175,7.979686043,5.24939325,11.50811046
"CD9",5.12868619,6.482356583,11.88942288,10.46039307,12.11739567,7.529598696,5.640046625,7.515907385
"CD96",9.126179,9.780757167,3.95240184,4.816873786,4.258137083,7.414743826,7.913661,9.351884692
"CD99",8.094279524,10.60398483,10.97363936,9.625431857,9.468731167,8.587248783,8.562111063,6.588626462
"CD99L2",5.744947524,6.331699667,7.37058876,7.200337857,6.8880475,5.68166313,5.153623313,5.600254538
"CDA",4.39557119,4.375359083,7.49849272,6.903959214,6.119719292,4.896755522,5.260408125,5.179937538
"CDADC1",5.802912048,7.81657,5.5905236,5.641903929,5.7539565,6.287892609,6.469848063,6.903907923
"CDAN1",6.691050714,6.9355035,6.91721312,5.899281857,7.290660292,6.654947348,4.975983125,6.737070231
"CDC123",8.059952286,8.598177,8.90628284,8.947031714,8.857097292,9.845230174,9.514241125,8.547098308
"CDC14A",4.096684048,4.408694667,3.38554636,3.379081857,3.320733667,3.755119783,7.699938438,5.924457077
"CDC14B",4.974619905,4.676104333,3.41591612,3.717064714,3.917396958,3.494843174,3.79769775,5.632667385
"CDC20",4.729496619,5.144987083,4.55694928,5.349941214,4.533952167,9.086808739,5.13121075,4.561156462
"CDC20B",3.019454952,3.031023083,2.95800784,3.029618357,3.089597458,3.187517174,3.9106345,3.029796308
"CDC23",7.240062952,7.797486167,7.97206124,6.764766429,8.297134,8.334088913,4.573719875,7.996795769
"CDC25A",5.147578143,5.017056667,4.97048408,5.270037214,4.519394542,7.970020261,4.976178,4.809613769
"CDC25B",10.0137941,9.872142083,9.21410596,7.8877895,8.001297958,9.124661261,7.213514125,10.57665138
"CDC25C",3.63684381,3.464190333,3.25437956,3.474618286,3.413946125,5.653684391,4.36505825,3.295958077
"CDC27",6.529698429,7.52906075,7.74283712,7.8155655,8.479387542,8.028228565,6.914211188,7.704775231
"CDC34",6.698270524,8.28632825,8.10469,7.4224115,8.308534292,7.67701313,6.48894275,6.742207923
"CDC37",8.328153143,8.587942,9.60194764,9.802921929,9.149500083,8.821500957,10.06628475,7.330622692
"CDC37L1",8.004954095,7.837141833,7.5169312,6.544788,8.093415125,6.646267913,7.056228,8.170686923
"CDC40",8.948703429,9.254035,9.4105686,8.467783143,9.096804583,9.140918826,7.43378175,9.182239385
"CDC42",6.048113667,6.497114667,5.28052224,5.416515857,5.329457833,5.745591348,7.235518813,5.825493692
"CDC42BPA",3.845084429,4.20445925,5.38288908,4.0430435,6.486067167,4.230090565,4.292586938,4.581496385
"CDC42BPB",3.916096095,3.737110667,6.6893116,6.245237429,6.996958208,3.835519609,3.95706,3.983542846
"CDC42EP3",6.287291333,9.047025167,8.69229236,7.455515643,7.622496042,4.686728,11.18699506,6.964020308
"CDC42EP4",4.585478333,4.024074833,5.04953992,5.154869714,5.006315875,5.391720087,5.8516815,4.871070615
"CDC42SE1",6.467371333,6.413892833,4.55339604,5.360264214,6.525424333,5.138936217,8.402633,5.403573231
"CDC42SE2",10.64575029,10.18249283,7.55541604,8.829811429,7.84510475,10.57667291,11.74078794,11.55384246
"CDC5L",8.054277143,9.227369917,8.86240708,8.345302,9.221622792,9.477708304,7.129629125,8.404618692
"CDC6",3.695782952,4.13230525,3.49043844,3.681513357,3.836143792,6.35294513,4.028529188,3.345861538
"CDC7",6.418508524,6.7396665,4.83824668,3.888608571,4.629599875,8.29409813,4.22957025,6.334841538
"CDC73",7.280949381,7.964435833,7.92326436,8.407810357,8.761008042,7.741866087,7.914312875,7.025314615
"CDCA2",3.618753667,4.07785025,3.48126036,4.596184786,3.599437333,6.840430652,3.879941313,3.770060231
"CDCA3",5.319461714,5.461870417,5.5460304,6.022824643,5.577443125,7.368880957,5.618399938,5.702838923
"CDCA5",6.128039381,6.611415333,5.72480012,6.218595071,5.965518042,8.600348174,5.31344825,5.662544538
"CDCA7",3.808128,4.055602583,3.71990248,3.7216455,3.6457855,5.592762826,3.549345375,3.808158385
"CDCA7L",8.021649238,5.308855667,7.8633188,5.800424571,5.8514905,9.528612652,6.784827125,9.100059231
"CDCA8",6.682651476,6.461664583,6.16025084,6.510279571,6.028415125,8.849068739,5.107997813,6.010698615
"CDCP1",5.137601095,5.072090833,5.42782104,5.617129929,6.467780708,5.491225696,4.960211563,4.679135385
"CDH1",3.707525857,3.475336,3.88262172,3.956197786,3.8697795,4.000722,4.912635875,3.711643462
"CDH15",5.023227524,4.85165175,5.62127512,5.585062143,5.422143083,5.854343348,6.554851625,5.576248077
"CDH16",4.644931571,4.172391083,4.63448108,4.868181571,4.806607042,4.67370013,5.839972438,4.495658538
"CDH20",3.510574476,3.27337125,3.43273752,3.617426929,3.497286375,3.539402913,5.974719063,3.589840308
"CDH22",5.866127,5.822454417,6.35448244,6.579960286,6.098840792,6.412256739,7.01582425,6.391411769
